circuit_key;circuit_short_name;country_code;country_key;country_name;date_start;gmt_offset;location;meeting_code;meeting_key;meeting_name;meeting_official_name;year
63;Sakhir;BRN;36;Bahrain;2025-02-26 07:00:00+00:00;03:00:00;Sakhir;BRN;1253;Pre-Season Testing;FORMULA 1 ARAMCO PRE-SEASON TESTING 2025;2025
10;Melbourne;AUS;5;Australia;2025-03-14 01:30:00+00:00;11:00:00;Melbourne;AUS;1254;Australian Grand Prix;FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025;2025
49;Shanghai;CHN;53;China;2025-03-21 03:30:00+00:00;08:00:00;Shanghai;CHN;1255;Chinese Grand Prix;FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025;2025
46;Suzuka;JPN;4;Japan;2025-04-04 02:30:00+00:00;09:00:00;Suzuka;JPN;1256;Japanese Grand Prix;FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025;2025
63;Sakhir;BRN;36;Bahrain;2025-04-11 11:30:00+00:00;03:00:00;Sakhir;BRN;1257;Bahrain Grand Prix;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025;2025
149;Jeddah;KSA;153;Saudi Arabia;2025-04-18 13:30:00+00:00;03:00:00;Jeddah;KSA;1258;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025;2025
